2019/05/10 02:25:24 [notice] 25#25: signal process started
2019/05/10 14:04:24 [error] 6#6: *90 open() "/usr/share/nginx/html/db/websql/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/websql/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:25 [error] 6#6: *91 open() "/usr/share/nginx/html/db/webdb/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/webdb/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:25 [error] 6#6: *92 open() "/usr/share/nginx/html/db/dbadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/dbadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:26 [error] 6#6: *93 open() "/usr/share/nginx/html/db/db-admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/db-admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:27 [error] 6#6: *94 open() "/usr/share/nginx/html/db/phpmyadmin3/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/phpmyadmin3/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:28 [error] 6#6: *95 open() "/usr/share/nginx/html/db/phpMyAdmin3/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/phpMyAdmin3/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:28 [error] 6#6: *96 open() "/usr/share/nginx/html/db/phpMyAdmin-3/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/phpMyAdmin-3/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:28 [error] 6#6: *97 open() "/usr/share/nginx/html/administrator/phpmyadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /administrator/phpmyadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:29 [error] 6#6: *98 open() "/usr/share/nginx/html/administrator/phpMyAdmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /administrator/phpMyAdmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:29 [error] 6#6: *99 open() "/usr/share/nginx/html/administrator/db/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /administrator/db/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:30 [error] 6#6: *100 open() "/usr/share/nginx/html/administrator/web/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /administrator/web/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:30 [error] 6#6: *101 open() "/usr/share/nginx/html/administrator/pma/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /administrator/pma/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:31 [error] 6#6: *102 open() "/usr/share/nginx/html/administrator/PMA/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /administrator/PMA/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:31 [error] 6#6: *103 open() "/usr/share/nginx/html/administrator/admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /administrator/admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:32 [error] 6#6: *104 open() "/usr/share/nginx/html/phpMyAdmin2/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpMyAdmin2/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:32 [error] 6#6: *105 open() "/usr/share/nginx/html/phpMyAdmin3/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpMyAdmin3/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:33 [error] 6#6: *106 open() "/usr/share/nginx/html/phpMyAdmin4/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpMyAdmin4/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:33 [error] 6#6: *107 open() "/usr/share/nginx/html/phpMyAdmin-3/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpMyAdmin-3/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:33 [error] 6#6: *108 open() "/usr/share/nginx/html/php-my-admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /php-my-admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:34 [error] 6#6: *109 open() "/usr/share/nginx/html/PMA2011/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA2011/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:35 [error] 6#6: *110 open() "/usr/share/nginx/html/PMA2012/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA2012/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:35 [error] 6#6: *111 open() "/usr/share/nginx/html/PMA2013/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA2013/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:35 [error] 6#6: *112 open() "/usr/share/nginx/html/PMA2014/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA2014/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:36 [error] 6#6: *113 open() "/usr/share/nginx/html/PMA2015/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA2015/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:36 [error] 6#6: *114 open() "/usr/share/nginx/html/PMA2016/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA2016/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:37 [error] 6#6: *115 open() "/usr/share/nginx/html/PMA2017/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA2017/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:37 [error] 6#6: *116 open() "/usr/share/nginx/html/PMA2018/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA2018/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:37 [error] 6#6: *117 open() "/usr/share/nginx/html/pma2011/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2011/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:38 [error] 6#6: *118 open() "/usr/share/nginx/html/pma2012/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2012/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:38 [error] 6#6: *119 open() "/usr/share/nginx/html/pma2013/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2013/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:39 [error] 6#6: *120 open() "/usr/share/nginx/html/pma2014/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2014/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:39 [error] 6#6: *121 open() "/usr/share/nginx/html/pma2015/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2015/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:39 [error] 6#6: *122 open() "/usr/share/nginx/html/pma2016/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2016/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:40 [error] 6#6: *123 open() "/usr/share/nginx/html/pma2017/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2017/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:40 [error] 6#6: *124 open() "/usr/share/nginx/html/pma2018/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2018/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:41 [error] 6#6: *125 open() "/usr/share/nginx/html/pma2019/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma2019/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:41 [error] 6#6: *126 open() "/usr/share/nginx/html/phpmyadmin2011/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmyadmin2011/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:42 [error] 6#6: *127 open() "/usr/share/nginx/html/phpmyadmin2012/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmyadmin2012/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:42 [error] 6#6: *128 open() "/usr/share/nginx/html/phpmyadmin2013/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmyadmin2013/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:44 [error] 6#6: *129 open() "/usr/share/nginx/html/phpmyadmin2014/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmyadmin2014/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:44 [error] 6#6: *130 open() "/usr/share/nginx/html/phpmyadmin2015/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmyadmin2015/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:45 [error] 6#6: *131 open() "/usr/share/nginx/html/phpmyadmin2016/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmyadmin2016/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:46 [error] 6#6: *132 open() "/usr/share/nginx/html/phpmyadmin2017/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmyadmin2017/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
